codigo,material,categoria
4,ABRAZADERA DE Ø50mm CON BULONES Y SALIDA PARA PEAD Ø20mm,Abrazaderas
5,ABRAZADERA DE Ø50mm CON BULONES Y SALIDA PARA PEAD Ø25mm,Abrazaderas
6,ABRAZADERA DE Ø63mm CON BULONES Y SALIDA PARA PEAD Ø20mm,Abrazaderas
7,ABRAZADERA DE Ø63mm CON BULONES Y SALIDA PARA PEAD Ø25mm,Abrazaderas
8,ABRAZADERA DE Ø75mm CON BULONES Y SALIDA PARA PEAD Ø 20mm,Abrazaderas
9,ABRAZADERA DE Ø75mm CON BULONES Y SALIDA PARA PEAD Ø 25mm,Abrazaderas
10,ABRAZADERA DE Ø90mm CON BULONES E INSERTOS DE BRONCE CON SALIDA DE Ø1/2”,Abrazaderas
11,ABRAZADERA DE Ø90mm CON BULONES E INSERTOS DE BRONCE CON SALIDA DE Ø3/4”,Abrazaderas
12,ABRAZADERA DE Ø110mm CON BULONES E INSERTOS DE BRONCE CON SALIDA DE Ø1/2”,Abrazaderas
13,ABRAZADERA DE Ø110mm CON BULONES E INSERTOS DE BRONCE CON SALIDA DE Ø3/4”,Abrazaderas
15,ABRAZADERA DE ALTA TOLERENCIA Ø45mm A Ø55mm,Abrazaderas
38,"ACOPLES DE COMPRESIÓN RÁPIDOS DE Ø1/2"" PROFESIONAL",Conexiones
39,"ACOPLES DE COMPRESIÓN RÁPIDOS DE Ø3/4"" PROFESIONAL",Conexiones
40,"ACOPLES DE COMPRESIÓN RÁPIDOS DE Ø1"" PROFESIONAL",Conexiones
41,"ACOPLES DE COMPRESIÓN RÁPIDOS DE Ø1 1/4"" PROFESIONAL",Conexiones
42,"ACOPLES DE COMPRESIÓN RÁPIDOS DE Ø1 1/2"" PROFESIONAL",Conexiones
43,"ACOPLES DE COMPRESIÓN RÁPIDOS DE Ø2"" PROFESIONAL",Conexiones
49,ADAPTADOR BRIDADO Ø4”,Conexiones
50,ADAPTADOR BRIDADO Ø6”,Conexiones
51,ADAPTADOR BRIDADO Ø8”,Conexiones
52,ADAPTADOR BRIDADO Ø10”,Conexiones
53,ADAPTADOR BRIDADO Øxxxmm,Conexiones
55,ADAPTADOR BRIDADO Ø100-110mm,Conexiones
57,ADAPTADOR BRIDADO Ø150-160mm,Conexiones
68,BRIDA DE ACERO PARA SOLDAR 200mm,Conexiones
69,BRIDA DE ACERO PARA SOLDAR 250mm,Conexiones
70,BRIDAS DE ACERO PARA SOLDAR Øxx,Conexiones
83,BRIDAS DE ACERO PARA SOLDAR Ø4”,Conexiones
84,BRIDAS DE ACERO PARA SOLDAR Ø6”,Conexiones
85,BRIDAS DE ACERO PARA SOLDAR Ø8”,Conexiones
86,BRIDAS DE ACERO PARA SOLDAR Ø10”,Conexiones
87,HIDRANTE A RESORTE Ø75mm,Hidráulicos
88,CABEZAL DE HIDRANTE A RESORTE Ø75mm,Hidráulicos
107,RAMAL CLOACAL Ø160X110  EN Y,Otros
111,CAÑO CLOACA PVC BLANCO Ø 110mm ESP 3.2mm,Tuberías PVC
112,CAÑO CLOACA PVC BLANCO Ø 160 mm 3.2mm,Tuberías PVC
113,CAÑO CLOACA PVC BLANCO Ø 200mm 3.2mm,Tuberías PVC
114,CAÑO CLOACA PVC BLANCO Ø 315mm 3.2mm,Tuberías PVC
115,CAÑO CLOACA PVC BLANCO Ø 450 mm 3.2mm,Tuberías PVC
116,CODOS 45 ° PVC CLOACA Ø 110 mm,Tuberías PVC
128,CUPLA DESLIZANTE PVC C10 Ø63mm JUNTA ELÁSTICA,Tuberías PVC
129,CUPLA DESLIZANTE PVC C10 Ø75mm JUNTA ELÁSTICA,Tuberías PVC
130,CUPLA DESLIZANTE PVC C10 Ø110mm JUNTA ELÁSTICA,Tuberías PVC
131,CUPLA DESLIZANTE PVC C10 Ø160mm JUNTA ELÁSTICA,Tuberías PVC
132,CUPLA DESLIZANTE PVC C10 Ø200mm JUNTA ELÁSTICA,Tuberías PVC
133,CUPLA DESLIZANTE PVC C10 Ø250mm JUNTA ELÁSTICA,Tuberías PVC
134,CUPLA DESLIZANTE PVC C10 Ø355 mm JUNTA ELÁSTICA,Tuberías PVC
135,CUPLA ROSCADA PVC C10 Ø63mm,Tuberías PVC
136,CUPLA ROSCADA PVC C10 Ø75mm,Tuberías PVC
141,CRUZ H°F° 50mmX50mm,Otros
142,CRUZ H°F° 63mmX63mm,Otros
143,CRUZ H°F° 75mmX75mm,Otros
